FlyHeight6,FlyHeight7,FlyHeight8,FlyHeight9,FlyHeight10,FlyHeight11,FlyHeight12,class
3147,2891,12103,10986,6023,5063,9853,0
3154,2878,12380,10943,6014,5113,9871,0
3155,2885,12381,11010,6080,5052,9872,0
3151,2874,12322,10937,6047,5083,9764,0
3156,2883,12397,11100,6050,5063,9956,0
3160,2890,12431,11040,6082,5107,9980,0
3168,2884,12368,11030,6056,5075,9789,0
3153,2881,12399,11053,6053,5133,9969,0
3151,2879,12378,10990,6067,5108,9930,0
3155,2891,12438,10985,6062,5066,9872,0
3155,2888,12369,10926,6016,5076,10050,0
3156,2896,12358,10939,6054,5054,9925,0
3150,2883,12244,10896,6010,5055,10117,0
3160,2894,12360,11003,6063,5098,10077,0
3141,2880,12332,10950,6003,5083,9843,0
3168,2895,12304,10915,6068,5144,9897,0
3162,2890,12428,11038,6078,5108,9811,0
3171,2897,12423,11046,6033,5098,9961,0
3162,2899,12486,10993,6039,5070,9863,0
3164,2893,12431,11005,6069,5096,9783,0
3158,2904,12386,11113,5990,5110,9981,0
3148,2892,12409,10896,5987,5104,9734,0
3149,2897,12316,10988,6040,5094,9817,0
3157,2887,12418,11060,5976,5080,9787,0
3146,2893,12346,10950,6002,5030,9901,0
3147,2883,12366,11036,6060,5103,9986,0
3146,2890,12279,10985,5978,5052,9936,0
3161,2899,12369,10969,6045,5101,9999,0
3149,2896,12374,10998,6028,5086,9805,0
3156,2888,12415,11078,6020,5079,9937,0
3151,2889,12307,10998,6029,5091,9976,0
3155,2889,12314,11100,6007,5073,9838,0
3137,2874,12299,10884,6028,5097,9909,0
3146,2893,12354,11028,6020,5119,9932,0
3167,2889,12442,11020,6043,5126,9841,0
3157,2887,12417,11136,6056,5134,9764,0
3155,2894,12390,11062,6055,5121,9978,0
3161,2891,12401,11016,6046,5121,9883,0
3149,2881,12264,11055,6047,5104,9887,0
3156,2887,12371,10892,5991,5079,9828,0
3150,2892,12359,10976,6069,5123,9803,0
3155,2894,12419,11010,6035,5104,9872,0
3157,2903,12465,11051,6040,5089,9871,0
3167,2890,12376,10998,6122,5075,9908,0
3166,2892,12422,11093,6070,5090,9913,0
3156,2896,12339,10916,5990,5115,9989,0
3176,2885,12459,11071,6031,5161,9844,0
3142,2886,12351,10984,6054,5095,9950,0
3164,2901,12410,10906,6052,5104,10076,0
3164,2892,12364,11069,6113,5124,10095,0
3164,2896,12425,11047,6059,5115,9996,0
3158,2907,12400,11061,6067,5084,9768,0
3164,2891,12443,10995,6057,5064,9878,0
3166,2900,12359,11081,6099,5080,9949,0
3166,2894,12388,11050,6023,5109,9790,0
3168,2888,12408,11064,6103,5117,9860,0
3162,2890,12380,11019,6062,5079,10094,0
3163,2891,12431,11080,6076,5126,9795,0
3151,2896,12470,11034,6032,5114,9894,0
3152,2900,12205,10926,6027,5114,9882,0
3151,2896,12343,11034,6072,5079,9960,0
3157,2886,12405,10984,6016,5103,9744,0
3161,2903,12395,11019,6088,5046,10006,0
3157,2902,12320,10989,5979,5111,10043,0
3168,2888,12461,11101,6070,5125,9844,0
3148,2903,12294,10914,5971,5105,9981,0
3152,2900,12425,10961,6060,5082,9855,0
3169,2897,12403,11067,6091,5113,9917,0
3153,2900,12373,11100,6056,5093,10084,0
3170,2905,12416,10888,6065,5126,10015,0
3169,2894,12437,11067,6124,5133,9888,0
3180,2894,12454,10844,6067,5153,9838,0
3164,2887,12400,11054,6085,5121,9890,0
3166,2895,12374,11012,6044,5142,9952,0
3162,2889,12409,11047,6105,5125,9924,0
3155,2900,12360,10910,6059,5102,9845,0
3160,2886,12362,10950,6101,5093,9891,0
3151,2882,12283,10898,6023,5114,9882,0
3172,2892,12400,11014,6094,5106,10010,0
3161,2893,12484,11012,6021,5090,9881,0
3168,2890,12443,11098,6060,5102,9870,0
3153,2887,12308,11017,6052,5082,9874,0
3154,2891,12313,10918,6065,5105,9927,0
3176,2892,12387,11038,6106,5130,9891,0
3160,2896,12366,11140,6105,5084,9939,0
3168,2884,12535,11049,6082,5141,9863,0
3177,2902,12437,11073,6054,5082,9871,0
3161,2891,12438,10940,5996,5085,10248,0
3164,2888,12469,10952,6021,5130,9950,0
3159,2887,12268,11051,6097,5125,9947,0
3177,2901,12434,11077,6097,5101,9992,0
3161,2884,12410,11066,6109,5093,9960,0
3161,2882,12411,10955,5992,5099,9791,0
3161,2887,12373,10996,6077,5100,9921,0
3147,2885,12391,10917,6057,5090,9933,0
3156,2898,12389,11024,6062,5110,9822,0
3156,2895,12296,11041,6068,5112,9903,0
3154,2888,12445,11009,6082,5099,9968,0
3163,2886,12415,10928,6062,5059,9926,0
3156,2885,12323,11018,6020,5065,9802,0
3151,2904,12268,10892,6034,5102,9970,0
3165,2891,12380,11003,6100,5118,9805,0
3167,2887,12405,10996,6009,5070,9791,0
3161,2873,12368,11081,6036,5117,9861,0
3167,2895,12462,10994,6029,5145,9869,0
3154,2894,12280,11005,6006,5078,9887,0
3155,2887,12320,10960,5992,5085,10048,0
3165,2887,12426,11119,6081,5137,9839,0
3153,2893,12393,11038,6087,5137,10041,0
3165,2886,12417,11118,6080,5084,10013,0
3157,2892,12385,10959,6017,5075,9887,0
3154,2902,12297,10975,5998,5086,10107,0
3157,2896,12356,10880,6016,5093,10001,0
3153,2894,12346,10997,6035,5076,9978,0
3148,2890,12247,10960,6069,5082,9952,0
3153,2887,12360,10997,6006,5080,9898,0
3156,2892,12362,11058,6010,5044,9810,0
3155,2882,12330,11018,6041,5075,9793,0
3155,2893,12432,11051,6110,5099,9818,0
3150,2888,12469,11044,6054,5067,10072,0
3155,2889,12327,10917,6037,5033,9886,0
3149,2887,12409,11029,6037,5039,9876,0
3152,2889,12293,11098,6057,5097,9813,0
3157,2898,12355,10978,6053,5087,9731,0
3167,2888,12387,10870,6069,5063,9915,0
3152,2889,12373,10956,6016,5057,9968,0
3149,2890,12307,11039,6023,5087,9852,0
3145,2882,12330,10972,6030,5008,9934,0
3162,2882,12361,10927,5982,5051,9869,0
3155,2895,12410,10984,6098,5115,9969,0
3158,2891,12436,10955,6023,5064,9983,0
3164,2891,12417,10999,6056,5071,9843,0
3160,2894,12364,11033,6054,5106,9943,0
3160,2895,12417,11094,5985,5093,9861,0
3158,2891,12380,11093,6069,5095,9944,0
3154,2887,12346,10860,6017,5049,9749,0
3162,2889,12355,11042,6067,5091,9855,0
3154,2891,12252,10916,6020,5042,9812,0
3156,2889,12304,10956,5965,5072,9756,0
3156,2883,12215,10968,5948,5103,9753,0
3155,2890,12270,10936,6045,5097,9944,0
3162,2888,12311,10910,6014,5118,9900,0
3164,2887,12379,10989,5995,5070,9901,0
3157,2887,12291,11010,6034,5040,10034,0
3165,2889,12300,10911,6014,5064,9814,0
3161,2889,12372,11035,6056,5103,9899,0
3156,2888,12396,10850,6016,5104,9844,0
3165,2891,12388,10978,6066,5070,10042,0
3154,2882,12392,10963,6043,5102,9830,0
3159,2892,12395,11011,5998,5087,9878,0
3163,2883,12328,10978,6018,5054,9767,0
3146,2886,12375,10914,6003,5061,9865,0
3150,2878,12315,11042,5999,5055,9848,0
3169,2884,12407,11101,6030,5077,10005,0
3153,2890,12374,10943,6064,5075,9785,0
3157,2892,12438,11011,5994,5115,9774,0
3160,2888,12307,11042,6057,5110,9781,0
3152,2881,12375,10939,6004,5045,10021,0
3143,2886,12205,10904,5977,5037,9792,0
3151,2898,12338,11003,6051,5121,9977,0
3165,2890,12397,11036,6072,5129,9930,0
3167,2890,12435,11042,6101,5098,9830,0
3155,2900,12390,10988,6048,5074,9986,0
3171,2903,12520,11050,6076,5075,9823,0
3162,2892,12385,10958,5955,5140,10139,0
3164,2888,12533,11099,6081,5101,9864,0
3171,2885,12484,10926,6061,5087,9830,0
3160,2897,12336,10957,6019,5104,9828,0
3158,2888,12316,10956,6064,5073,9909,0
3159,2888,12330,10928,6038,5059,10047,0
3159,2882,12341,10998,6033,5083,10081,0
3162,2885,12320,10922,6050,5107,9954,0
3160,2893,12415,10983,6101,5113,9839,0
3164,2897,12527,11086,6116,5100,10154,0
3162,2897,12408,10984,6036,5119,9871,0
3165,2891,12484,11109,6047,5121,9981,0
3174,2891,12367,11019,6062,5096,9789,0
3149,2892,12366,11023,6045,5079,9809,0
3156,2901,12405,11128,6065,5133,9838,0
3162,2899,12377,10876,6096,5142,9913,0
3149,2890,12423,10971,6048,5098,9858,0
3168,2891,12314,10862,6025,5064,9831,0
3154,2883,12385,10949,6081,5101,9951,0
3180,2892,12454,11004,6128,5088,10107,0
3159,2888,12358,10961,6006,5087,10012,0
3165,2887,12461,11058,6106,5100,9901,0
3158,2888,12378,10996,6062,5072,10040,0
3178,2901,12551,11062,6103,5099,10120,0
3171,2890,12480,10980,6146,5075,10206,0
3179,2895,12555,11033,6138,5160,9942,0
3164,2896,12405,11017,6025,5126,9792,0
3163,2887,12442,10977,6037,5066,10035,0
3173,2894,12546,11042,6110,5129,10000,0
3173,2902,12517,11040,6123,5065,9863,0
3166,2890,12539,10997,6052,5091,9926,0
3161,2887,12378,11069,6056,5116,10011,0
3147,2889,12517,11076,6007,5045,9858,0
3157,2893,12374,10942,6071,5100,9910,0
3159,2899,12457,10922,6029,5074,10001,0
3172,2889,12434,10972,6047,5106,9933,0
3161,2882,12350,10952,6040,5099,10016,0
3148,2898,12326,10982,6038,5108,10013,0
3162,2895,12301,10963,6060,5089,9800,0
3162,2888,12354,10817,6082,5083,9904,0
3146,2890,12337,11039,6049,5057,9822,0
3164,2898,12434,11021,6012,5153,9935,0
3173,2905,12453,11021,6094,5127,9858,0
3164,2908,12357,10932,6023,5050,9827,0
3165,2898,12402,11077,6063,5094,9927,0
3160,2891,12373,10937,6051,5098,9879,0
3150,2894,12354,11002,6111,5115,9947,0
3170,2891,12501,11066,6098,5129,9978,0
3156,2890,12395,11104,6044,5146,10068,0
3153,2897,12437,10973,6051,5090,9875,0
3149,2886,12418,10990,6046,5102,10226,0
3153,2889,12370,10969,6011,5125,9770,0
3149,2893,12349,10929,6015,5093,9910,0
3156,2898,12321,11023,6031,5073,9871,0
3156,2881,12403,10950,5982,5040,10011,0
3165,2884,12324,10971,6041,5022,10041,0
3162,2892,12467,10983,6018,5098,9948,0
3156,2892,12420,10999,5997,5118,9841,0
3159,2889,12306,10982,6022,5059,10036,0
3149,2882,12422,10945,6020,5085,10014,0
3153,2886,12325,10926,6069,5060,9962,0
3149,2885,12437,10981,5978,5102,9918,0
3150,2888,12427,10910,5954,5108,9963,0
3137,2883,12317,10895,5974,5086,9825,0
3150,2897,12324,10968,5991,5034,9907,0
3164,2886,12362,11011,6023,5066,9828,0
3158,2887,12410,10996,6032,5079,10086,0
3162,2884,12414,11081,6022,5074,10023,0
3154,2894,12432,10980,6000,5049,9860,0
3169,2888,12372,10943,6032,5097,9965,0
3154,2886,12398,10915,5972,5034,10020,0
3167,2881,12448,11059,6072,5113,9992,0
3140,2897,12334,10970,6038,5087,9900,0
3140,2885,12328,10961,6085,5104,10002,0
3150,2889,12335,10939,6006,5068,9852,0
3149,2897,12235,10933,5998,5042,9829,0
3173,2891,12492,11029,6092,5102,9805,0
3167,2901,12479,10992,6034,5118,9841,0
3145,2888,12493,11079,6052,5103,9923,0
3162,2904,12359,11071,6078,5087,9846,0
3156,2882,12458,10996,6004,5101,9855,0
3164,2893,12384,11046,6080,5087,10028,0
3159,2896,12365,11027,6110,5108,9805,0
3154,2892,12427,11013,6088,5067,9930,0
3157,2883,12450,10891,6047,5058,9775,0
3158,2885,12428,10987,6017,5049,9877,0
3153,2895,12404,10949,6049,5071,10008,0
3145,2891,12365,10827,6022,5075,10069,0
3165,2898,12335,10946,6047,5068,9795,0
3175,2895,12431,10961,6067,5108,9843,0
3161,2889,12374,10965,5990,5046,9872,0
3160,2893,12417,11068,6041,5058,10042,0
3164,2886,12395,11021,6022,5080,9923,0
3156,2891,12325,10957,6030,5073,9830,0
3152,2887,12269,10957,5989,5050,9806,0
3156,2885,12395,10983,5999,5057,9816,0
3150,2885,12324,10883,5966,5060,9900,0
3148,2903,12386,11081,6062,5122,9910,0
3151,2888,12460,11007,6048,5089,10001,0
3165,2886,12383,10957,6002,5055,9786,0
3152,2880,12409,10996,5990,5066,9856,0
3156,2886,12431,11016,6051,5090,9948,0
3151,2893,12402,11038,6065,5037,9905,0
3164,2892,12516,11068,6069,5088,10026,0
3156,2890,12504,11065,5998,5081,9931,0
3156,2896,12412,11117,6060,5079,9853,0
3165,2891,12454,10991,6060,5093,9894,0
3169,2895,12379,11069,6049,5113,9915,0
3166,2895,12387,10951,6060,5114,10020,0
3165,2904,12474,11024,6092,5112,9886,0
3168,2890,12446,11038,6052,5112,9935,0
3156,2888,12437,11019,6036,5053,9906,0
3156,2891,12450,10983,6033,5092,9866,0
3154,2887,12459,11022,5990,5049,9861,0
3168,2891,12362,10955,6061,5053,9861,0
3165,2890,12370,10850,6077,5078,9826,0
3158,2888,12375,10959,5994,5075,9967,0
3165,2882,12382,10936,6038,5053,9900,0
3165,2887,12344,10991,6037,5042,9967,0
3232,3062,13434,11837,6359,5427,11206,0
3232,3062,13434,11837,6359,5427,11206,0
3234,3048,13607,11844,6359,5352,11325,0
3224,3054,13364,11712,6328,5327,10893,0
3227,3060,13302,11767,6362,5386,11109,0
3222,3054,13388,11849,6347,5382,11371,0
3235,3055,13526,11808,6319,5378,11301,0
3215,3040,13342,11656,6305,5366,11093,0
3221,3051,13406,11759,6259,5362,11292,0
3224,3062,13255,11727,6271,5309,10893,0
3236,3058,13231,11778,6303,5340,11134,0
3252,3060,13496,11726,6313,5318,10930,0
3226,3045,13516,11729,6291,5337,11187,0
3223,3051,13468,11773,6313,5369,11237,0
3234,3064,13336,11755,6253,5305,11167,0
3237,3051,13447,11730,6305,5383,10989,0
3225,3049,13290,11853,6320,5368,11073,0
